Timestamp,What grade are you currently in?,Sex?  (As shown on birth certificate),If the elections for STUCO were today who would you vote for?
4/29/2018 22:42:25,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:43:48,11th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:44:09,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:45:40,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:46:27,11th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:48:57,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:50:08,11th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:53:36,11th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:56:09,11th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:57:52,11th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:02:11,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:04:38,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:06:28,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:18:26,11th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 23:22:31,11th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:27:30,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/30/2018 6:25:01,11th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/30/2018 6:57:30,11th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/30/2018 7:29:39,11th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:26:09,8th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:37:58,8th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:39:11,8th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:39:22,8th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:39:45,8th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:40:20,8th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:40:45,8th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:41:03,8th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:42:36,8th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:49:23,8th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:50:39,8th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:59:25,8th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 23:03:50,8th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:05:34,8th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 23:14:01,8th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:17:55,8th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:51:57,8th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:26:16,9th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:36:44,9th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:36:53,9th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:36:54,9th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:38:45,9th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:39:12,9th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:41:47,9th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:45:24,9th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:45:46,9th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:47:51,9th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:48:32,9th,Male,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 22:48:38,9th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:50:12,9th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:50:43,9th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:52:25,9th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:56:11,9th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:56:37,9th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:59:46,9th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/29/2018 22:59:59,9th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:01:56,9th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 23:11:35,9th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 23:15:46,9th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/29/2018 23:19:27,9th,Male,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/30/2018 6:26:44,9th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/30/2018 6:43:23,9th,Female,"Red (Luis Santos, Valeria Loria, Esteban Gonzalez, Andrea Alarcon, Jose Luis Alonso, Eugenia Rodriguez, Valeria Quintana, Diego Cantú, René Martínez, Alec Iturria, Georgina Rivero, Isabel Zambrano)"
4/30/2018 7:04:56,9th,Female,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/30/2018 7:08:58,9th,Female,"Orange (Tania de la Garza, Andrea Newell, Arturo Gonzalez, Barbara Maiz, Gerardo Mireles, Daniel Mota, Francisco Santos, Jorge Avalos, Laura de la Garza, Regina Ramos, Sofia Rhon, Tadeo Garza)"
4/30/2018 7:21:18,9th,Male,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"
4/29/2018 22:54:25,,,"Neon (Viola Hernandez, Matias Montemayor, Nadia Fernandez, Joaquin Derby, Alejandro Torre, Maria Giacoman, Isa Fernandez, Vale Montalvo, Alonso Bustindui, Luisa Fernandez, Gonzalo Fernandez)"